x[km] y[km] z[km] ex ey ez dlos[cm] sigma[cm] type
2.544001 -10.619661 0.178942 -0.63 -0.199 -0.75 -6.2 1.1 sar
0.492541 -12.841778 0.13025 -0.632 -0.2 -0.749 -3.4 1.1 sar
2.54477 -12.841193 0.062673 -0.631 -0.199 -0.75 -4.0 1.1 sar
4.595541 -10.618436 0.076718 -0.629 -0.198 -0.752 -6.7 1.1 sar
6.64712 -10.616771 0.073852 -0.628 -0.198 -0.753 -7.1 1.1 sar
4.597009 -12.840152 0.069445 -0.63 -0.199 -0.751 -4.9 1.1 sar
6.649312 -12.838621 0.133574 -0.628 -0.198 -0.752 -5.8 1.1 sar
1.478329 -16.174198 0.108211 -0.632 -0.199 -0.749 -1.9 1.1 sar
5.584759 -16.171998 0.062757 -0.63 -0.199 -0.751 -3.0 1.1 sar
8.698822 -10.614652 0.16235 -0.627 -0.198 -0.754 -8.1 1.1 sar
10.750458 -10.611804 0.177206 -0.625 -0.197 -0.755 -8.9 1.1 sar
8.701578 -12.836366 0.139061 -0.627 -0.197 -0.754 -5.9 1.1 sar
10.260439 -12.278758 0.116868 -0.626 -0.197 -0.754 -6.8 1.1 sar
11.245363 -12.277148 0.072205 -0.625 -0.197 -0.755 -6.8 1.1 sar
10.261993 -13.389513 0.061525 -0.626 -0.197 -0.754 -4.5 1.1 sar
11.247139 -13.387981 0.057861 -0.626 -0.196 -0.755 -4.1 1.1 sar
12.308529 -10.053633 0.088337 -0.624 -0.197 -0.756 -10.2 1.1 sar
13.293328 -10.051905 0.143372 -0.623 -0.197 -0.757 -8.8 1.1 sar
12.310477 -11.16448 0.075382 -0.624 -0.197 -0.756 -9.3 1.1 sar
13.295416 -11.162749 0.123416 -0.624 -0.197 -0.756 -8.2 1.1 sar
